,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-aim,Python
49,ml-all-pairs,Python
50,ml-ane-transformers,Python
51,ml-aspanformer,Python
52,ml-autofocusformer,Python
53,ml-autofocusformer-segmentation,Python
54,ml-batchquant,Python
55,ml-behavioral-testing-for-mt,
56,ml-calibration,Jupyter Notebook
57,ml-capsules-inverted-attention-routing,Python
58,ml-cifar-10-faster,Python
59,ml-code-switched-speech-translation,Python
60,ml-codeswitching-translations,
61,ml-collegial-ensembles,Python
62,ml-core,Python
63,ml-covid-mobility,R
64,ml-cread,Python
65,ml-cvnets,Python
66,ml-cvpr2019-swd,Python
67,ml-dab,Python
68,ml-data-parameters,Python
69,ml-delphi,
70,ml-destseg,Python
71,ml-dms-dataset,Python
72,ml-dprecs,Jupyter Notebook
73,ml-dr,Python
74,ml-duet,Python
75,ml-entity-deduction-arena,Python
76,ml-entropy-reconstruction,Python
77,ml-envmapnet,Python
78,ml-equivariant-neural-rendering,Jupyter Notebook
79,ml-facelit,Python
80,ml-fastvit,Python
81,ml-fct,Python
82,ml-ferret,Python
83,ml-finerecon,Python
84,ml-flair,Jupyter Notebook
85,ml-gaudi,
86,ml-gmpi,Python
87,ml-gsn,Python
88,ml-hd-gist,Python
89,ml-heart-rate-models,Python
90,ml-hierarchical-confusion-matrix,TypeScript
91,ml-hypersim,Python
92,ml-interspeech2022-phi_rtn,
93,ml-kge,Python
94,ml-knowledge-conflicts,Python
95,ml-live-pose,
96,ml-llarp,Python
97,ml-lucid-datagen,Python
98,ml-mgie,Python
99,ml-mkqa,Python
100,ml-mobileclip,Python
101,ml-mobileone,Swift
102,ml-mofi,Python
103,ml-multiple-futures-prediction,Python
104,ml-ncg,Python
105,ml-neilf,Python
106,ml-neilfpp,Python
107,ml-neuman,Python
108,ml-no-token-left-behind,Jupyter Notebook
109,ml-np-rasp,Python
110,ml-nvas3d,Python
111,ml-pointconvformer,Python
112,ml-pointersect,Python
113,ml-probabilistic-attention,Python
114,ml-projunit,Python
115,ml-qrecc,Python
116,ml-quant,Python
117,ml-reed,Python
118,ml-rlgrad,Python
119,ml-robust-expert-augmentations,Python
120,ml-rpm-bench,Python
121,ml-sad,Python
122,ml-selfcond,Python
123,ml-shuffling-amplification,Python
124,ml-sigma-reparam,Python
125,ml-spatial-librispeech,
126,ml-spin,Python
127,ml-stable-diffusion,Python
128,ml-stabledreamer,
129,ml-stuttering-events-dataset,Python
130,ml-symphony,Svelte
131,ml-tic-clip,
132,ml-tract,Python
133,ml-transcript-translation-consistency-ratings,
134,ml-translate-vis,TypeScript
135,ml-tree-dst,Python
136,ml-tune-mode-convbn,Python
137,ml-upscale,Jupyter Notebook
138,ml-uwac,Python
139,ml-veclip,Jupyter Notebook
140,ml-vfi-smiff,Python
141,ml-vision-transformers-ane,Python
142,openjdk,Java
143,password-manager-resources,JavaScript
144,pfl-research,Python
145,pkl,Java
146,pkl-go,Go
147,pkl-go-examples,Go
148,pkl-intellij,Kotlin
149,pkl-jvm-examples,Groovy
150,pkl-k8s,Kotlin
151,pkl-k8s-examples,
152,pkl-lang.org,JavaScript
153,pkl-neovim,Scheme
154,pkl-package-docs,Kotlin
155,pkl-pantry,Kotlin
156,pkl-project-commons,
157,pkl-spring,Java
158,pkl-swift,Swift
159,pkl-swift-examples,Swift
160,pkl-vscode,TypeScript
161,pkl.tmbundle,
162,sample-backyard-birds,Swift
163,sample-cloudkit-coredatasync,Swift
164,sample-cloudkit-encryption,Swift
165,sample-cloudkit-privatedb,Swift
166,sample-cloudkit-privatedb-sync,Swift
167,sample-cloudkit-queries,Swift
168,sample-cloudkit-sharing,Swift
169,sample-cloudkit-sync-engine,Swift
170,sample-cloudkit-tooling,JavaScript
171,sample-cloudkit-zonesharing,Swift
172,sample-food-truck,Swift
173,servicetalk,Java
174,sourcekit-lsp,Swift
175,swift,C++
176,swift-3-api-guidelines-review,Swift
177,swift-algorithms,Swift
178,swift-aoc-starter-example,Swift
179,swift-argument-parser,Swift
180,swift-asn1,Swift
181,swift-async-algorithms,Swift
182,swift-async-dns-resolver,Swift
183,swift-atomics,Swift
184,swift-book,Markdown
185,swift-cassandra-client,Swift
186,swift-certificates,Swift
187,swift-clang,C++
188,swift-clang-tools-extra,C++
189,swift-cluster-membership,Swift
190,swift-cmake-examples,CMake
191,swift-cmark,C
192,swift-collections,Swift
193,swift-collections-benchmark,Swift
194,swift-community-hosted-continuous-integration,
195,swift-compiler-rt,C
196,swift-corelibs-foundation,Swift
197,swift-corelibs-libdispatch,C
198,swift-corelibs-xctest,Swift
199,swift-crypto,C
200,swift-distributed-actors,Swift
201,swift-distributed-tracing,Swift
202,swift-distributed-tracing-baggage-core,Swift
203,swift-distributed-tracing-extras,Swift
204,swift-docc,Swift
205,swift-docc-plugin,Swift
206,swift-docc-render,JavaScript
207,swift-docc-render-artifact,
208,swift-docc-symbolkit,Swift
209,swift-docker,Dockerfile
210,swift-driver,Swift
211,swift-evolution,Markdown
212,swift-evolution-staging,Swift
213,swift-experimental-string-processing,Swift
214,swift-for-wasm-examples,Swift
215,swift-format,Swift
216,swift-foundation,Swift
217,swift-foundation-icu,C
218,swift-getting-started-cli,Swift
219,swift-getting-started-package-library,Swift
220,swift-http-structured-headers,Swift
221,swift-http-types,Swift
222,swift-installer-scripts,CMake
223,swift-integration-tests,Python
224,swift-internals,HTML
225,swift-issues,
226,swift-libcxx,C++
227,swift-llbuild,C++
228,swift-llbuild2,Swift
229,swift-lldb,C++
230,swift-llvm,LLVM
231,swift-llvm-bindings,Swift
232,swift-lmdb,C
233,swift-log,Swift
234,swift-markdown,Swift
235,swift-metrics,Swift
236,swift-metrics-extras,Swift
237,swift-mmio,Swift
238,swift-nio,Swift
239,swift-nio-examples,Swift
240,swift-nio-extras,Swift
241,swift-nio-http2,Swift
242,swift-nio-imap,Swift
243,swift-nio-nghttp2-support,Swift
244,swift-nio-ssh,Swift
245,swift-nio-ssl,C
246,swift-nio-ssl-support,Swift
247,swift-nio-transport-services,Swift
248,swift-nio-zlib-support,Swift
249,swift-numerics,Swift
250,swift-openapi-generator,Swift
251,swift-openapi-runtime,Swift
252,swift-openapi-urlsession,Swift
253,swift-org-website,SCSS
254,swift-package-collection-generator,Swift
255,swift-package-manager,Swift
256,swift-package-registry-compatibility-test-suite,Swift
257,swift-playdate-examples,Swift
258,swift-protobuf,Swift
259,swift-protobuf-plugin,
260,swift-protobuf-test-conformance,
261,swift-sample-distributed-actors-transport,Swift
262,swift-sdk-generator,Swift
263,swift-se0270-range-set,Swift
264,swift-se0288-is-power,Swift
265,swift-service-context,Swift
266,swift-service-discovery,Swift
267,swift-source-compat-suite,Python
268,swift-standard-library-preview,Swift
269,swift-statsd-client,Swift
